Name;EDoID;isED;Age;Gender;isM;Nationality;Current_Com_Roles;Historical_Com_Roles;Number_Committees;Recent_Compensation;Recent_Comp_Mil;Recent_Comp_Thous;Company;Sector;Industry
Thomas (Tom) Ros Watjen;ID;0;59;M;1;American;3;4;3;165;0,165;165;SUNTRUST BANKS INC (Quoted);Financial;Money Center Banks
Doctor Phail  Wynn Jr;ID;0;66;M;1;American;3;10;3;150;0,15;150;SUNTRUST BANKS INC (Quoted);Financial;Money Center Banks
Debra A Cafaro;ED;1;56;F;0;;4;6;4;;;;VENTAS INC (Vencor prior to 04/1998) (Quoted);Financial;REIT - Healthcare Facilities
Douglas (Doug)  Crocker II;ID;0;73;M;1;;8;31;4;237;0,237;237;VENTAS INC (Vencor prior to 04/1998) (Quoted);Financial;REIT - Healthcare Facilities
Ronald G Geary;ID;0;66;M;1;American;2;12;3;215;0,215;215;VENTAS INC (Vencor prior to 04/1998) (Quoted);Financial;REIT - Healthcare Facilities
Jay M Gellert;ID;0;60;M;1;American;1;4;3;;;;VENTAS INC (Vencor prior to 04/1998) (Quoted);Financial;REIT - Healthcare Facilities
Richard (Rick) Irwin Gilchrist;ID;0;69;M;1;American;4;8;6;212;0,212;212;VENTAS INC (Vencor prior to 04/1998) (Quoted);Financial;REIT - Healthcare Facilities
Matthew J Lustig;ID;0;54;M;1;American;0;2;8;204;0,204;204;VENTAS INC (Vencor prior to 04/1998) (Quoted);Financial;REIT - Healthcare Facilities
Douglas (Doug) M Pasquale;ID;0;60;M;1;American;9;14;7;203;0,203;203;VENTAS INC (Vencor prior to 04/1998) (Quoted);Financial;REIT - Healthcare Facilities
Robert D Reed;ID;0;61;M;1;;1;2;4;215;0,215;215;VENTAS INC (Vencor prior to 04/1998) (Quoted);Financial;REIT - Healthcare Facilities
Sheli Zysman Rosenberg;ID;0;72;F;0;American;13;56;7;;;;VENTAS INC (Vencor prior to 04/1998) (Quoted);Financial;REIT - Healthcare Facilities
Glenn J Rufrano;ID;0;65;M;1;American;1;10;2;218;0,218;218;VENTAS INC (Vencor prior to 04/1998) (Quoted);Financial;REIT - Healthcare Facilities
James D Shelton;ID;0;60;M;1;American;4;11;4;220;0,22;220;VENTAS INC (Vencor prior to 04/1998) (Quoted);Financial;REIT - Healthcare Facilities
Milton  Carroll;ED;1;64;M;1;American;5;21;7;;;;CENTERPOINT ENERGY INC (Quoted);Utilities;Diversified Utilities
David M McClanahan;ED;1;65;M;1;American;0;0;1;;;;CENTERPOINT ENERGY INC (Quoted);Utilities;Diversified Utilities
Scott M Prochazka;ED;1;49;M;1;;0;0;1;;;;CENTERPOINT ENERGY INC (Quoted);Utilities;Diversified Utilities
Donald R Campbell;ID;0;74;M;1;American;0;9;0;;;;CENTERPOINT ENERGY INC (Quoted);Utilities;Diversified Utilities
O Holcombe Crosswell;ID;0;74;M;1;American;0;7;1;;;;CENTERPOINT ENERGY INC (Quoted);Utilities;Diversified Utilities
Michael P Johnson Sr;ID;0;67;M;1;American;7;12;5;129;0,129;129;CENTERPOINT ENERGY INC (Quoted);Utilities;Diversified Utilities
Janiece M Longoria;ID;0;62;F;0;American;3;10;5;132;0,132;132;CENTERPOINT ENERGY INC (Quoted);Utilities;Diversified Utilities
Scott J McLean;ID;0;57;M;1;American;2;2;4;;;;CENTERPOINT ENERGY INC (Quoted);Utilities;Diversified Utilities
Susan Opel Rheney;ID;0;54;F;0;American;5;11;3;;;;CENTERPOINT ENERGY INC (Quoted);Utilities;Diversified Utilities
Phillip R Smith;ID;0;62;M;1;;1;1;2;;;;CENTERPOINT ENERGY INC (Quoted);Utilities;Diversified Utilities
Robert (Al) A Walker;ID;0;58;M;1;;3;7;3;113;0,113;113;CENTERPOINT ENERGY INC (Quoted);Utilities;Diversified Utilities
Peter Staub Wareing;ID;0;62;M;1;American;3;6;6;140;0,14;140;CENTERPOINT ENERGY INC (Quoted);Utilities;Diversified Utilities
Sherman M Wolff;ID;0;74;M;1;;0;6;1;;;;CENTERPOINT ENERGY INC (Quoted);Utilities;Diversified Utilities
James (Jamie) L Dimon;ED;1;58;M;1;American;0;5;1;18,823;18,823;18823;JPMORGAN CHASE & CO (Quoted);Money Center Banks;
Linda B Bammann;ID;0;59;F;0;;2;12;1;;;;JPMORGAN CHASE & CO (Quoted);Money Center Banks;
James A Bell;ID;0;65;M;1;American;3;5;2;158;0,158;158;JPMORGAN CHASE & CO (Quoted);Money Center Banks;
Crandall Close Bowles;ID;0;67;F;0;American;5;9;4;;;;JPMORGAN CHASE & CO (Quoted);Money Center Banks;
Stephen (Steve) B Burke;ID;0;56;M;1;American;2;2;4;152;0,152;152;JPMORGAN CHASE & CO (Quoted);Money Center Banks;
David (Dave) Michael Cote;ID;0;61;M;1;American;0;2;5;152;0,152;152;JPMORGAN CHASE & CO (Quoted);Money Center Banks;
James (Jim) Schine Crown;ID;0;60;M;1;American;4;26;3;187;0,187;187;JPMORGAN CHASE & CO (Quoted);Money Center Banks;
Timothy P Flynn;ID;0;58;M;1;;4;4;4;;;;JPMORGAN CHASE & CO (Quoted);Money Center Banks;
Ellen Victoria Futter;ID;0;64;F;0;American;3;18;3;152;0,152;152;JPMORGAN CHASE & CO (Quoted);Money Center Banks;
Laban (Labe) P Jackson Jr;ID;0;71;M;1;American;1;11;3;263;0,263;263;JPMORGAN CHASE & CO (Quoted);Money Center Banks;
Michael (Mike) A Neal;ID;0;60;M;1;American;1;1;1;;;;JPMORGAN CHASE & CO (Quoted);Money Center Banks;
Doctor Lee R Raymond;ID;0;75;M;1;American;0;7;2;;;;JPMORGAN CHASE & CO (Quoted);Money Center Banks;
William (Bill) C Weldon;ID;0;65;M;1;American;4;6;5;159;0,159;159;JPMORGAN CHASE & CO (Quoted);Money Center Banks;
Mark J Czarnecki;ED;1;59;M;1;American;0;0;4;;;;M&T BANK CORP (Quoted);Financial;Regional - Northeast Banks
Michael (Mike) P Pinto;ED;1;58;M;1;American;0;0;1;;;;M&T BANK CORP (Quoted);Financial;Regional - Northeast Banks
Robert (Bob) G Wilmers;ED;1;79;M;1;American;1;1;2;2,146;2,146;2146;M&T BANK CORP (Quoted);Financial;Regional - Northeast Banks
Brent Dugan Baird;ID;0;75;M;1;American;2;15;4;129;0,129;129;M&T BANK CORP (Quoted);Financial;Regional - Northeast Banks
C Angela Bontempo;ID;0;73;F;0;American;1;2;8;95;0,095;95;M&T BANK CORP (Quoted);Financial;Regional - Northeast Banks
Robert T Brady;ID;0;74;M;1;American;3;15;3;78;0,078;78;M&T BANK CORP (Quoted);Financial;Regional - Northeast Banks
T Jefferson Cunningham III;ID;0;72;M;1;American;1;1;3;121;0,121;121;M&T BANK CORP (Quoted);Financial;Regional - Northeast Banks
Gary N Geisel;ID;0;66;M;1;;2;2;3;123;0,123;123;M&T BANK CORP (Quoted);Financial;Regional - Northeast Banks
John (Jerry) D Hawke Jr;ID;0;80;M;1;;1;1;3;122;0,122;122;M&T BANK CORP (Quoted);Financial;Regional - Northeast Banks
Patrick W Hodgson;ID;0;73;M;1;American;2;6;2;95;0,095;95;M&T BANK CORP (Quoted);Financial;Regional - Northeast Banks
Richard G King;ID;0;69;M;1;American;0;1;6;97;0,097;97;M&T BANK CORP (Quoted);Financial;Regional - Northeast Banks
Jorge G Pereira;ID;0;80;M;1;American;0;3;2;71;0,071;71;M&T BANK CORP (Quoted);Financial;Regional - Northeast Banks
Melinda (Mindy) R Rich;ID;0;56;F;0;American;0;4;6;70;0,07;70;M&T BANK CORP (Quoted);Financial;Regional - Northeast Banks
Robert E Sadler Jr;ID;0;68;M;1;American;3;5;6;;;;M&T BANK CORP (Quoted);Financial;Regional - Northeast Banks
Herbert L Washington;ID;0;63;M;1;American;1;2;2;89;0,089;89;M&T BANK CORP (Quoted);Financial;Regional - Northeast Banks
Douglas (Doug) Ray Oberhelman;ED;1;61;M;1;American;2;9;4;10,667;10,667;10667;CATERPILLAR INC (Quoted);Industrial Goods;Farm & Construction Machinery
David (Dave) L Calhoun;ID;0;56;M;1;American;4;10;5;;;;CATERPILLAR INC (Quoted);Industrial Goods;Farm & Construction Machinery
Daniel (Dan) Mckenzie Dickinson;ID;0;53;M;1;American;3;10;3;;;;CATERPILLAR INC (Quoted);Industrial Goods;Farm & Construction Machinery
Juan Ignacio Gallardo Thurlow;ID;0;66;M;1;Mexican;4;8;5;155;0,155;155;CATERPILLAR INC (Quoted);Industrial Goods;Farm & Construction Machinery
David R Goode;ID;0;73;M;1;American;2;23;2;;;;CATERPILLAR INC (Quoted);Industrial Goods;Farm & Construction Machinery
Jesse Johnson Greene Jr;ID;0;69;M;1;American;1;2;2;155;0,155;155;CATERPILLAR INC (Quoted);Industrial Goods;Farm & Construction Machinery
Ambassador Jonathan (Jon) Meade Huntsman Jr;ID;0;53;M;1;American;6;6;4;139;0,139;139;CATERPILLAR INC (Quoted);Industrial Goods;Farm & Construction Machinery
Peter Alden Magowan;ID;0;71;M;1;American;1;6;2;155;0,155;155;CATERPILLAR INC (Quoted);Industrial Goods;Farm & Construction Machinery
Dennis A Muilenburg;ID;0;50;M;1;American;1;2;2;155;0,155;155;CATERPILLAR INC (Quoted);Industrial Goods;Farm & Construction Machinery
William A Osborn;ID;0;66;M;1;American;7;22;3;167;0,167;167;CATERPILLAR INC (Quoted);Industrial Goods;Farm & Construction Machinery
Lord (Charles David) Powell of Bayswater;ID;0;72;M;1;British;2;11;8;;;;CATERPILLAR INC (Quoted);Industrial Goods;Farm & Construction Machinery
Edward (Ed) Barry Rust Jr;ID;0;63;M;1;American;8;16;8;;;;CATERPILLAR INC (Quoted);Industrial Goods;Farm & Construction Machinery
Ambassador Susan Carroll Schwab;ID;0;58;F;0;American;4;17;6;;;;CATERPILLAR INC (Quoted);Industrial Goods;Farm & Construction Machinery
Joshua Isaac Smith;ID;0;72;M;1;American;1;10;4;;;;CATERPILLAR INC (Quoted);Industrial Goods;Farm & Construction Machinery
Miles D White;ID;0;59;M;1;American;5;9;3;155;0,155;155;CATERPILLAR INC (Quoted);Industrial Goods;Farm & Construction Machinery
Hamid R Moghadam;ED;1;58;M;1;American;1;4;1;;;;PROLOGIS INC (AMB Property Corp prior to 06/2011) (Quoted);Financial;REIT - Industrial
George L Fotiades;ID;0;61;M;1;American;3;15;8;;;;PROLOGIS INC (AMB Property Corp prior to 06/2011) (Quoted);Financial;REIT - Industrial
Christine N Garvey;ID;0;69;F;0;;3;16;4;;;;PROLOGIS INC (AMB Property Corp prior to 06/2011) (Quoted);Financial;REIT - Industrial
Lydia H Kennard;ID;0;60;F;0;American;2;8;6;;;;PROLOGIS INC (AMB Property Corp prior to 06/2011) (Quoted);Financial;REIT - Industrial
J Michael Losh;ID;0;68;M;1;American;12;31;6;;;;PROLOGIS INC (AMB Property Corp prior to 06/2011) (Quoted);Financial;REIT - Industrial
Irving (Bud) F Lyons III;ID;0;65;M;1;;7;12;5;156;0,156;156;PROLOGIS INC (AMB Property Corp prior to 06/2011) (Quoted);Financial;REIT - Industrial
Doctor Jeffrey L Skelton;ID;0;65;M;1;American;2;5;2;131;0,131;131;PROLOGIS INC (AMB Property Corp prior to 06/2011) (Quoted);Financial;REIT - Industrial
D (Mike) Michael Steuert;ID;0;66;M;1;American;3;9;3;;;;PROLOGIS INC (AMB Property Corp prior to 06/2011) (Quoted);Financial;REIT - Industrial
Carl B Webb;ID;0;65;M;1;American;2;13;5;131;0,131;131;PROLOGIS INC (AMB Property Corp prior to 06/2011) (Quoted);Financial;REIT - Industrial
William (Bill) D Zollars;ID;0;67;M;1;;8;13;4;131;0,131;131;PROLOGIS INC (AMB Property Corp prior to 06/2011) (Quoted);Financial;REIT - Industrial
Ronald (Ron) L Sargent;ED;1;58;M;1;American;5;22;4;5,52;5,52;5520;STAPLES INC (Quoted);Services;Specialty Retail, Other
Basil L Anderson;ID;0;68;M;1;American;10;25;6;146;0,146;146;STAPLES INC (Quoted);Services;Specialty Retail, Other
Arthur M Blank;ID;0;71;M;1;American;0;8;4;;;;STAPLES INC (Quoted);Services;Specialty Retail, Other
Doctor Catharine Drew Faust;ID;0;66;F;0;American;1;1;2;187;0,187;187;STAPLES INC (Quoted);Services;Specialty Retail, Other
Justin Matthew King;ID;0;52;M;1;British;2;2;3;146;0,146;146;STAPLES INC (Quoted);Services;Specialty Retail, Other
Carol M Meyrowitz;ID;0;60;F;0;American;1;3;2;163;0,163;163;STAPLES INC (Quoted);Services;Specialty Retail, Other
Professor, Dr Rowland Thomar Moriarty;ID;0;67;M;1;American;10;21;7;150;0,15;150;STAPLES INC (Quoted);Services;Specialty Retail, Other
Robert C Nakasone;ID;0;66;M;1;American;5;11;5;146;0,146;146;STAPLES INC (Quoted);Services;Specialty Retail, Other
Elizabeth (Liz) A Smith;ID;0;51;F;0;;3;5;6;146;0,146;146;STAPLES INC (Quoted);Services;Specialty Retail, Other
Robert (Bob) E Sulentic;ID;0;56;M;1;American;3;5;3;173;0,173;173;STAPLES INC (Quoted);Services;Specialty Retail, Other
Raul  Vazquez;ID;0;43;M;1;;0;0;2;;;;STAPLES INC (Quoted);Services;Specialty Retail, Other
Vijay  Vishwanath;ID;0;54;M;1;;1;3;2;163;0,163;163;STAPLES INC (Quoted);Services;Specialty Retail, Other
Paul F Walsh;ID;0;64;M;1;American;2;5;4;146;0,146;146;STAPLES INC (Quoted);Services;Specialty Retail, Other
Fabrizio  Freda;ED;1;57;M;1;;1;1;2;22,802;22,802;22802;ESTEE LAUDER COS INC (Quoted);Consumer Goods;Personal Products
William P Lauder;ED;1;53;M;1;American;2;4;4;5,537;5,537;5537;ESTEE LAUDER COS INC (Quoted);Consumer Goods;Personal Products
Leonard Alan Lauder;ED;1;80;M;1;American;0;1;1;;;;ESTEE LAUDER COS INC (Quoted);Consumer Goods;Personal Products
Aerin  Lauder;ED;1;43;F;0;American;0;0;2;;;;ESTEE LAUDER COS INC (Quoted);Consumer Goods;Personal Products
Jane A Lauder;ED;1;41;F;0;;0;0;1;;;;ESTEE LAUDER COS INC (Quoted);Consumer Goods;Personal Products
Ambassador Charlene  Barshefsky;ID;0;63;F;0;American;6;13;6;213;0,213;213;ESTEE LAUDER COS INC (Quoted);Consumer Goods;Personal Products
Rose Marie Bravo;ID;0;63;F;0;American;6;8;5;213;0,213;213;ESTEE LAUDER COS INC (Quoted);Consumer Goods;Personal Products
Wei Sun Christianson;ID;0;57;F;0;Chinese;1;1;4;213;0,213;213;ESTEE LAUDER COS INC (Quoted);Consumer Goods;Personal Products
Lady (Lynn Forester) de Rothschild;ID;0;59;F;0;American;2;6;6;223;0,223;223;ESTEE LAUDER COS INC (Quoted);Consumer Goods;Personal Products
Paul J Fribourg;ID;0;60;M;1;American;8;17;8;221;0,221;221;ESTEE LAUDER COS INC (Quoted);Consumer Goods;Personal Products
Mellody Lousie Hobson;ID;0;44;F;0;American;6;11;8;216;0,216;216;ESTEE LAUDER COS INC (Quoted);Consumer Goods;Personal Products
Irvine O Hockaday Jr;ID;0;77;M;1;American;1;18;1;232;0,232;232;ESTEE LAUDER COS INC (Quoted);Consumer Goods;Personal Products
Richard (Dick) Dean Parsons;ID;0;65;M;1;American;4;19;8;228;0,228;228;ESTEE LAUDER COS INC (Quoted);Consumer Goods;Personal Products
Barry Stuart Sternlicht;ID;0;54;M;1;American;4;7;8;;;;ESTEE LAUDER COS INC (Quoted);Consumer Goods;Personal Products
Richard (Rich) F Zannino;ID;0;56;M;1;American;4;4;8;216;0,216;216;ESTEE LAUDER COS INC (Quoted);Consumer Goods;Personal Products
Debra (Debbie) L Reed;ED;1;57;F;0;American;3;13;2;7,295;7,295;7295;SEMPRA ENERGY CORP (Quoted);Utilities;Gas Utilities
Alan Lee Boeckmann;ID;0;65;M;1;American;5;13;2;123;0,123;123;SEMPRA ENERGY CORP (Quoted);Utilities;Gas Utilities
James G Brocksmith Jr;ID;0;74;M;1;American;4;18;1;;;;SEMPRA ENERGY CORP (Quoted);Utilities;Gas Utilities
Kathleen Rice Brown;ID;0;68;F;0;American;3;9;3;;;;SEMPRA ENERGY CORP (Quoted);Utilities;Gas Utilities
Pablo A Ferrero;ID;0;51;M;1;;4;4;2;;;;SEMPRA ENERGY CORP (Quoted);Utilities;Gas Utilities
Wilford D Godbold Jr;ID;0;75;M;1;American;0;14;0;;;;SEMPRA ENERGY CORP (Quoted);Utilities;Gas Utilities
William D Jones;ID;0;59;M;1;American;3;11;3;126;0,126;126;SEMPRA ENERGY CORP (Quoted);Utilities;Gas Utilities
Professor, Dr William (Bill) George Ouchi;ID;0;70;M;1;American;6;21;5;;;;SEMPRA ENERGY CORP (Quoted);Utilities;Gas Utilities
William (Bill) C Rusnack;ID;0;70;M;1;American;8;18;4;136;0,136;136;SEMPRA ENERGY CORP (Quoted);Utilities;Gas Utilities
William (Bill) P Rutledge;ID;0;73;M;1;American;6;22;4;;;;SEMPRA ENERGY CORP (Quoted);Utilities;Gas Utilities
The Hon. Lynn A Schenk;ID;0;69;F;0;American;5;8;3;129;0,129;129;SEMPRA ENERGY CORP (Quoted);Utilities;Gas Utilities
Jack T Taylor;ID;0;63;M;1;;3;3;4;;;;SEMPRA ENERGY CORP (Quoted);Utilities;Gas Utilities
Doctor Luis Manuel Téllez Kuenzler;ID;0;55;M;1;Mexican;3;6;8;120;0,12;120;SEMPRA ENERGY CORP (Quoted);Utilities;Gas Utilities
James C Yardley;ID;0;63;M;1;;0;0;2;;;;SEMPRA ENERGY CORP (Quoted);Utilities;Gas Utilities
David C Novak;ED;1;61;M;1;;1;7;1;12,734;12,734;12734;YUM! BRANDS INC (Tricon Global Restaurants Inc 05/2002) (Quoted);Services;Restaurants
Jing-Shyh (Sam) Samuel Su;ED;1;62;M;1;;0;0;2;5,941;5,941;5941;YUM! BRANDS INC (Tricon Global Restaurants Inc 05/2002) (Quoted);Services;Restaurants
Michael (Mike) J Cavanagh;ID;0;47;M;1;American;0;0;2;112;0,112;112;YUM! BRANDS INC (Tricon Global Restaurants Inc 05/2002) (Quoted);Services;Restaurants
David (Dave) Wyatt Dorman;ID;0;60;M;1;American;7;24;3;105;0,105;105;YUM! BRANDS INC (Tricon Global Restaurants Inc 05/2002) (Quoted);Services;Restaurants
Massimo  Ferragamo;ID;0;56;M;1;Italian;2;6;2;105;0,105;105;YUM! BRANDS INC (Tricon Global Restaurants Inc 05/2002) (Quoted);Services;Restaurants
Doctor Mirian M Graddick-Weir;ID;0;60;F;0;American;1;7;3;200;0,2;200;YUM! BRANDS INC (Tricon Global Restaurants Inc 05/2002) (Quoted);Services;Restaurants
J David Grissom;ID;0;75;M;1;American;1;10;5;;;;YUM! BRANDS INC (Tricon Global Restaurants Inc 05/2002) (Quoted);Services;Restaurants
Doctor Bonnie Guiton Hill;ID;0;72;F;0;American;7;34;8;;;;YUM! BRANDS INC (Tricon Global Restaurants Inc 05/2002) (Quoted);Services;Restaurants
Jonathan (Jon) Scranton Linen;ID;0;70;M;1;American;3;9;6;;;;YUM! BRANDS INC (Tricon Global Restaurants Inc 05/2002) (Quoted);Services;Restaurants
Thomas (Tom) C Nelson;ID;0;51;M;1;American;4;5;3;;;;YUM! BRANDS INC (Tricon Global Restaurants Inc 05/2002) (Quoted);Services;Restaurants
Thomas (Tom) M Ryan;ID;0;62;M;1;American;6;23;4;;;;YUM! BRANDS INC (Tricon Global Restaurants Inc 05/2002) (Quoted);Services;Restaurants
Robert (Bob) D Walter;ID;0;69;M;1;American;5;23;4;;;;YUM! BRANDS INC (Tricon Global Restaurants Inc 05/2002) (Quoted);Services;Restaurants
Indra Krishnamurthy Nooyi;ED;1;58;F;0;Indian;0;2;3;14,504;14,504;14504;PEPSICO INC (Quoted);Consumer Goods;Beverages - Soft Drinks
Shona L Brown;ID;0;48;F;0;;1;3;3;131;0,131;131;PEPSICO INC (Quoted);Consumer Goods;Beverages - Soft Drinks
Sir George William Buckley;ID;0;67;M;1;British;5;17;8;;;;PEPSICO INC (Quoted);Consumer Goods;Beverages - Soft Drinks
Ian M Cook;ID;0;61;M;1;American;1;1;3;131;0,131;131;PEPSICO INC (Quoted);Consumer Goods;Beverages - Soft Drinks
Dina  Dublon;ID;0;61;F;0;American;4;12;5;;;;PEPSICO INC (Quoted);Consumer Goods;Beverages - Soft Drinks
Doctor Victor Joseph Dzau;ID;0;68;M;1;American;5;12;8;;;;PEPSICO INC (Quoted);Consumer Goods;Beverages - Soft Drinks
Rona Alison Fairhead;ID;0;52;F;0;British;3;11;8;;;;PEPSICO INC (Quoted);Consumer Goods;Beverages - Soft Drinks
Ray Lee Hunt;ID;0;70;M;1;American;2;11;8;141;0,141;141;PEPSICO INC (Quoted);Consumer Goods;Beverages - Soft Drinks
Alberto  Ibargüen;ID;0;70;M;1;American;6;11;4;;;;PEPSICO INC (Quoted);Consumer Goods;Beverages - Soft Drinks
Sharon Percy Rockefeller;ID;0;69;F;0;American;2;5;2;89;0,089;89;PEPSICO INC (Quoted);Consumer Goods;Beverages - Soft Drinks
James Joseph Schiro;ID;0;68;M;1;American;8;14;5;;;;PEPSICO INC (Quoted);Consumer Goods;Beverages - Soft Drinks
Lloyd George Trotter;ID;0;69;M;1;American;4;8;7;;;;PEPSICO INC (Quoted);Consumer Goods;Beverages - Soft Drinks
Doctor Daniel (Dan) Lucius Vasella;ID;0;60;M;1;Swiss;3;10;4;;;;PEPSICO INC (Quoted);Consumer Goods;Beverages - Soft Drinks
Alberto  Weisser;ID;0;58;M;1;Brazilian;1;6;2;131;0,131;131;PEPSICO INC (Quoted);Consumer Goods;Beverages - Soft Drinks
Charles (Charlie) A Schrock;ED;1;60;M;1;American;0;0;2;;;;INTEGRYS ENERGY GROUP (WPS Resources Corp prior to 02/2007) (Quoted);Utilities;Gas Utilities
Keith E Bailey;ID;0;72;M;1;American;5;20;4;;;;INTEGRYS ENERGY GROUP (WPS Resources Corp prior to 02/2007) (Quoted);Utilities;Gas Utilities
William (Bill) J Brodsky;ID;0;69;M;1;American;3;8;4;99;0,099;99;INTEGRYS ENERGY GROUP (WPS Resources Corp prior to 02/2007) (Quoted);Utilities;Gas Utilities
Albert J Budney Jr;ID;0;67;M;1;American;0;5;1;107;0,107;107;INTEGRYS ENERGY GROUP (WPS Resources Corp prior to 02/2007) (Quoted);Utilities;Gas Utilities
Doctor Pastora San Juan Cafferty;ID;0;73;F;0;;0;19;0;;;;INTEGRYS ENERGY GROUP (WPS Resources Corp prior to 02/2007) (Quoted);Utilities;Gas Utilities
Ellen  Carnahan;ID;0;58;F;0;;2;6;5;99;0,099;99;INTEGRYS ENERGY GROUP (WPS Resources Corp prior to 02/2007) (Quoted);Utilities;Gas Utilities
Michelle L Collins;ID;0;54;F;0;;2;15;8;;;;INTEGRYS ENERGY GROUP (WPS Resources Corp prior to 02/2007) (Quoted);Utilities;Gas Utilities
Kathryn M Hasselblad-Pascale;ID;0;66;F;0;American;2;10;2;99;0,099;99;INTEGRYS ENERGY GROUP (WPS Resources Corp prior to 02/2007) (Quoted);Utilities;Gas Utilities
John (Jack) W Higgins;ID;0;67;M;1;American;2;9;2;99;0,099;99;INTEGRYS ENERGY GROUP (WPS Resources Corp prior to 02/2007) (Quoted);Utilities;Gas Utilities
